Company:,ATVI,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-02-24,	,	,	,	,	,	,
Enter Date1:,2009-02-25,Enter price:,9.99,Exit price:,9.89,Profit rate:,-1.0010010010009973 %,
Enter Date2:,2009-02-26,Enter price:,9.87,Exit price:,9.95,Profit rate:,0.8105369807497474 %,
Enter Date3:,2009-02-27,Enter price:,9.79,Exit price:,10.03,Profit rate:,2.4514811031664987 %,
Enter Date4:,2009-03-02,Enter price:,9.83,Exit price:,9.9,Profit rate:,0.7121057985757913 %,
Enter Date5:,2009-03-03,Enter price:,9.93,Exit price:,9.87,Profit rate:,-0.6042296072507604 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.3688932742402797 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.3688932742402797 %,
Exit 5th day:,2009-02-25
		    to
		2009-03-03,Enter price:,9.99,Exit price:,9.87,Profit rate:,-1.201201201201211 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-03-18,	,	,	,	,	,	,
Enter Date1:,2009-03-19,Enter price:,9.79,Exit price:,9.9,Profit rate:,1.12359550561799 %,
Enter Date2:,2009-03-20,Enter price:,10.2,Exit price:,9.99,Profit rate:,-2.0588235294117556 %,
Enter Date3:,2009-03-23,Enter price:,10.14,Exit price:,10.45,Profit rate:,3.057199211045352 %,
Enter Date4:,2009-03-24,Enter price:,10.44,Exit price:,10.24,Profit rate:,-1.9157088122605297 %,
Enter Date5:,2009-03-25,Enter price:,10.35,Exit price:,10.26,Profit rate:,-0.869565217391303 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.6633028424002462 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.7055904318400334 %,
Exit 5th day:,2009-03-19
		    to
		2009-03-25,Enter price:,9.79,Exit price:,10.26,Profit rate:,4.800817160367729 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-05-26,	,	,	,	,	,	,
Enter Date1:,2009-05-27,Enter price:,11.53,Exit price:,11.44,Profit rate:,-0.7805724197745001 %,
Enter Date2:,2009-05-28,Enter price:,11.57,Exit price:,11.77,Profit rate:,1.7286084701814979 %,
Enter Date3:,2009-05-29,Enter price:,11.88,Exit price:,12.08,Profit rate:,1.6835016835016776 %,
Enter Date4:,2009-06-01,Enter price:,12.36,Exit price:,12.13,Profit rate:,-1.8608414239482092 %,
Enter Date5:,2009-06-02,Enter price:,12.15,Exit price:,12.31,Profit rate:,1.3168724279835402 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.0875687379440064 %,
	,	,	,	,Total cumulative:,,Profit rate:,3.79315916978404 %,
Exit 5th day:,2009-05-27
		    to
		2009-06-02,Enter price:,11.53,Exit price:,12.31,Profit rate:,6.764960971379022 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-08-12,	,	,	,	,	,	,
Enter Date1:,2009-08-13,Enter price:,12.46,Exit price:,12.35,Profit rate:,-0.8828250401284204 %,
Enter Date2:,2009-08-14,Enter price:,12.22,Exit price:,12.69,Profit rate:,3.8461538461538365 %,
Enter Date3:,2009-08-17,Enter price:,12.35,Exit price:,12.03,Profit rate:,-2.591093117408909 %,
Enter Date4:,2009-08-18,Enter price:,12.07,Exit price:,12.21,Profit rate:,1.1599005799502948 %,
Enter Date5:,2009-08-19,Enter price:,12.19,Exit price:,12.05,Profit rate:,-1.1484823625922789 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.38365390597452276 %,
	,	,	,	,Total cumulative:,,Profit rate:,4.176813075758563 %,
Exit 5th day:,2009-08-13
		    to
		2009-08-19,Enter price:,12.46,Exit price:,12.05,Profit rate:,-3.290529695024078 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,5,,,,,,,
Found Date: ,2009-08-14,	,	,	,	,	,	,
Enter Date1:,2009-08-17,Enter price:,12.35,Exit price:,12.03,Profit rate:,-2.591093117408909 %,
Enter Date2:,2009-08-18,Enter price:,12.07,Exit price:,12.21,Profit rate:,1.1599005799502948 %,
Enter Date3:,2009-08-19,Enter price:,12.19,Exit price:,12.05,Profit rate:,-1.1484823625922789 %,
Enter Date4:,2009-08-20,Enter price:,12.03,Exit price:,12.08,Profit rate:,0.41562759767249136 %,
Enter Date5:,2009-08-21,Enter price:,12.1,Exit price:,12.21,Profit rate:,0.9090909090909192 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.2549563932874828 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.9218566824710805 %,
Exit 5th day:,2009-08-17
		    to
		2009-08-21,Enter price:,12.35,Exit price:,12.21,Profit rate:,-1.133603238866387 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,6,,,,,,,
Found Date: ,2009-09-21,	,	,	,	,	,	,
Enter Date1:,2009-09-22,Enter price:,12.39,Exit price:,12.36,Profit rate:,-0.24213075060533604 %,
Enter Date2:,2009-09-23,Enter price:,12.46,Exit price:,12.51,Profit rate:,0.40128410914926904 %,
Enter Date3:,2009-09-24,Enter price:,12.53,Exit price:,12.28,Profit rate:,-1.9952114924181963 %,
Enter Date4:,2009-09-25,Enter price:,12.29,Exit price:,12.37,Profit rate:,0.6509357200976409 %,
Enter Date5:,2009-09-28,Enter price:,12.47,Exit price:,12.41,Profit rate:,-0.48115477145148755 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.6662771852281097 %,
