Company:,BAC,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-09-10,	,	,	,	,	,	,
Enter Date1:,2009-09-11,Enter price:,17.24,Exit price:,16.969999,Profit rate:,-1.566131090487222 %,
Enter Date2:,2009-09-14,Enter price:,16.68,Exit price:,16.99,Profit rate:,1.8585131894484335 %,
Enter Date3:,2009-09-15,Enter price:,16.99,Exit price:,16.790001,Profit rate:,-1.1771571512654402 %,
Enter Date4:,2009-09-16,Enter price:,16.889999,Exit price:,17.25,Profit rate:,2.1314447679955486 %,
Enter Date5:,2009-09-17,Enter price:,17.309999,Exit price:,17.610001,Profit rate:,1.7331139071700652 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.979783622861385 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.979783622861385 %,
Exit 5th day:,2009-09-11
		    to
		2009-09-17,Enter price:,17.24,Exit price:,17.610001,Profit rate:,2.1461774941995477 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2010-01-27,	,	,	,	,	,	,
Enter Date1:,2010-01-28,Enter price:,15.4,Exit price:,15.37,Profit rate:,-0.19480519480520217 %,
Enter Date2:,2010-01-29,Enter price:,15.49,Exit price:,15.18,Profit rate:,-2.0012911555842514 %,
Enter Date3:,2010-02-01,Enter price:,15.26,Exit price:,15.42,Profit rate:,1.0484927916120586 %,
Enter Date4:,2010-02-02,Enter price:,15.45,Exit price:,15.6,Profit rate:,0.9708737864077693 %,
Enter Date5:,2010-02-03,Enter price:,15.57,Exit price:,15.53,Profit rate:,-0.2569043031470836 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.43363407551670946 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.5461495473446756 %,
Exit 5th day:,2010-01-28
		    to
		2010-02-03,Enter price:,15.4,Exit price:,15.53,Profit rate:,0.8441558441558377 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2010-03-09,	,	,	,	,	,	,
Enter Date1:,2010-03-10,Enter price:,17.01,Exit price:,17.110001,Profit rate:,0.5878953556731269 %,
Enter Date2:,2010-03-11,Enter price:,17.18,Exit price:,17.120001,Profit rate:,-0.3492374854482028 %,
Enter Date3:,2010-03-12,Enter price:,17.26,Exit price:,16.85,Profit rate:,-2.3754345307068374 %,
Enter Date4:,2010-03-15,Enter price:,16.74,Exit price:,16.85,Profit rate:,0.6571087216248686 %,
Enter Date5:,2010-03-16,Enter price:,16.969999,Exit price:,17.030001,Profit rate:,0.3535769212478871 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.1260910176091579 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.4200585297355177 %,
Exit 5th day:,2010-03-10
		    to
		2010-03-16,Enter price:,17.01,Exit price:,17.030001,Profit rate:,0.11758377425042355 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2010-10-12,	,	,	,	,	,	,
Enter Date1:,2010-10-13,Enter price:,13.6,Exit price:,13.29,Profit rate:,-2.2794117647058862 %,
Enter Date2:,2010-10-14,Enter price:,13.0,Exit price:,12.6,Profit rate:,-3.0769230769230793 %,
Enter Date3:,2010-10-15,Enter price:,12.66,Exit price:,11.98,Profit rate:,-5.371248025276459 %,
Enter Date4:,2010-10-18,Enter price:,11.96,Exit price:,12.34,Profit rate:,3.1772575250836037 %,
Enter Date5:,2010-10-19,Enter price:,12.34,Exit price:,11.8,Profit rate:,-4.376012965964337 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-11.926338307786159 %,
	,	,	,	,Total cumulative:,,Profit rate:,-10.50627977805064 %,
Exit 5th day:,2010-10-13
		    to
		2010-10-19,Enter price:,13.6,Exit price:,11.8,Profit rate:,-13.23529411764705 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,5,,,,,,,
Found Date: ,2010-12-27,	,	,	,	,	,	,
Enter Date1:,2010-12-28,Enter price:,13.38,Exit price:,13.34,Profit rate:,-0.29895366218236863 %,
Enter Date2:,2010-12-29,Enter price:,13.39,Exit price:,13.31,Profit rate:,-0.5974607916355494 %,
Enter Date3:,2010-12-30,Enter price:,13.32,Exit price:,13.28,Profit rate:,-0.30030030030030724 %,
Enter Date4:,2010-12-31,Enter price:,13.23,Exit price:,13.34,Profit rate:,0.8314436885865414 %,
Enter Date5:,2011-01-03,Enter price:,13.85,Exit price:,14.19,Profit rate:,2.4548736462093856 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.0896025806777017 %,
	,	,	,	,Total cumulative:,,Profit rate:,-8.416677197372938 %,
Exit 5th day:,2010-12-28
		    to
		2011-01-03,Enter price:,13.38,Exit price:,14.19,Profit rate:,6.0538116591928155 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,6,,,,,,,
Found Date: ,2011-01-14,	,	,	,	,	,	,
Enter Date1:,2011-01-18,Enter price:,15.08,Exit price:,15.0,Profit rate:,-0.5305039787798413 %,
Enter Date2:,2011-01-19,Enter price:,14.85,Exit price:,14.37,Profit rate:,-3.232323232323235 %,
Enter Date3:,2011-01-20,Enter price:,14.27,Exit price:,14.54,Profit rate:,1.8920812894183574 %,
Enter Date4:,2011-01-21,Enter price:,14.41,Exit price:,14.25,Profit rate:,-1.1103400416377525 %,
Enter Date5:,2011-01-24,Enter price:,14.25,Exit price:,13.92,Profit rate:,-2.315789473684211 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-5.2968754370066815 %,
	,	,	,	,Total cumulative:,,Profit rate:,-13.713552634379619 %,
Exit 5th day:,2011-01-18
		    to
		2011-01-24,Enter price:,15.08,Exit price:,13.92,Profit rate:,-7.6923076923076925 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2011-02-11,	,	,	,	,	,	,
Enter Date1:,2011-02-14,Enter price:,14.78,Exit price:,14.89,Profit rate:,0.7442489851150285 %,
Enter Date2:,2011-02-15,Enter price:,14.8,Exit price:,14.77,Profit rate:,-0.2027027027027104 %,
Enter Date3:,2011-02-16,Enter price:,14.81,Exit price:,14.84,Profit rate:,0.20256583389601188 %,
Enter Date4:,2011-02-17,Enter price:,14.75,Exit price:,14.81,Profit rate:,0.40677966101695257 %,
Enter Date5:,2011-02-18,Enter price:,14.84,Exit price:,14.75,Profit rate:,-0.6064690026954168 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.5444227746298657 %,
	,	,	,	,Total cumulative:,,Profit rate:,-13.169129859749754 %,
Exit 5th day:,2011-02-14
		    to
		2011-02-18,Enter price:,14.78,Exit price:,14.75,Profit rate:,-0.2029769959404558 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2011-06-16,	,	,	,	,	,	,
Enter Date1:,2011-06-17,Enter price:,10.75,Exit price:,10.68,Profit rate:,-0.651162790697677 %,
Enter Date2:,2011-06-20,Enter price:,10.59,Exit price:,10.6,Profit rate:,0.09442870632672132 %,
Enter Date3:,2011-06-21,Enter price:,10.68,Exit price:,10.83,Profit rate:,1.4044943820224753 %,
Enter Date4:,2011-06-22,Enter price:,10.79,Exit price:,10.79,Profit rate:,0.0 %,
Enter Date5:,2011-06-23,Enter price:,10.65,Exit price:,10.71,Profit rate:,0.5633802816901454 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.411140579341665 %,
	,	,	,	,Total cumulative:,,Profit rate:,-11.75798928040809 %,
Exit 5th day:,2011-06-17
		    to
		2011-06-23,Enter price:,10.75,Exit price:,10.71,Profit rate:,-0.37209302325580607 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,9,,,,,,,
Found Date: ,2011-12-07,	,	,	,	,	,	,
Enter Date1:,2011-12-08,Enter price:,5.84,Exit price:,5.59,Profit rate:,-4.280821917808219 %,
Enter Date2:,2011-12-09,Enter price:,5.67,Exit price:,5.72,Profit rate:,0.8818342151675453 %,
Enter Date3:,2011-12-12,Enter price:,5.59,Exit price:,5.45,Profit rate:,-2.5044722719141266 %,
Enter Date4:,2011-12-13,Enter price:,5.56,Exit price:,5.32,Profit rate:,-4.316546762589916 %,
Enter Date5:,2011-12-14,Enter price:,5.24,Exit price:,5.23,Profit rate:,-0.19083969465648445 %,
